"","Duty","Intellect","Adversity","Mating","Positivity","Negativity","Deception","Sociality"
"1",0.555992174200585,0.382755172467209,0.338334764049407,0.379597059129521,0.469399750036886,0.422356598636565,0.0900719514894616,0.351213961473949
"2",0.503226019102643,0.369730585393766,0.3257683330472,0.423631282991802,0.498445201741347,0.428623979180145,0.0975321789860744,0.327022571416511
"3",0.489349508958757,0.319556784176557,0.340470993807692,0.396156783849963,0.467989678946149,0.422332680962404,0.096382855252105,0.263288989684746
"4",0.50089135038149,0.343959418318218,0.328561277803128,0.367286467759679,0.446871791312488,0.362080602917997,0.0428053005920321,0.339006160779988
"5",0.613175403300705,0.397227372232639,0.408756104236043,0.37607621085411,0.480813585643327,0.431771518464663,0.0823487973819415,0.417459275369958
"6",0.595524247116537,0.370991791873336,0.398688057182202,0.375718715270461,0.448134832819923,0.423919696305905,0.106559709265512,0.373221166436965
"7",0.575657434485613,0.366093525012958,0.397253039504291,0.387355315374672,0.471034353278514,0.419969452416237,0.0752226363375335,0.394654631387818
"8",0.488163125286973,0.243590997703354,0.368122148880624,0.188954508382654,0.341038701330125,0.294404775668521,0.0625875381145521,0.264053026964129
"9",0.512139611061058,0.312680243941542,0.361085829579696,0.2441633942389,0.386756318370886,0.331152892456199,0.109492087943572,0.34358335636564
"10",0.537573671279907,0.2840567804901,0.398676023622533,0.255835257336364,0.411574572735858,0.365813677449123,0.0764386856252282,0.329636674271225
"11",0.501299354988034,0.33031486295399,0.309243620986454,0.323865395829457,0.40477400914052,0.374612125225847,0.0740500906591727,0.311828600966962
"12",0.55815986840801,0.300245473948391,0.367980341777811,0.252606568540523,0.387661169531902,0.357748114032695,0.0813546115047345,0.387390124339751
"13",0.449854683039159,0.301180258075167,0.28935597705988,0.3080022592087,0.401915573196357,0.377869160643773,0.0405201792340402,0.296029936382761
"14",0.537285682664626,0.294416236571854,0.419818731226685,0.206358321292885,0.332404314504586,0.371131853227976,0.105895673179627,0.394043580073615
"15",0.571479925133346,0.30101422957699,0.415815897890111,0.274649859149689,0.378260156200424,0.347729377822109,0.044306254063822,0.357219578255413
"16",0.563800833239904,0.334136220288122,0.426447498871021,0.330330638705727,0.425058232573315,0.42106839196335,0.110686573076833,0.338071836462992
