"","Agency","Progressiveness","Communion"
"1",0.0940580474828992,-0.118403276274101,0.0201419954661106
"2",0.126433228230598,-0.063232493497601,0.00779334979609882
"3",0.0912550900000512,-0.0780353034312401,0.0447529961067746
"4",0.136003658719467,-0.132618104572653,0.0256755241583915
"5",0.120498146283336,-0.0856835944703422,0.0382955855405958
"6",0.0764532085728518,-0.0810467635874831,0.0379047042484547
"7",0.0892654027083917,-0.0588139858210236,0.0422653880616001
"8",0.113757072992521,-0.144113395318781,0.00199641672300759
"9",0.0857476616722361,-0.0690073042624454,-0.021580462595915
"10",0.110037570463056,-0.139213191787738,0.00729844510584967
"11",0.0667688999686054,-0.0744982453265092,-0.0454574899259408
"12",0.0928680076127555,-0.13139081725483,0.0190149496252376
"13",0.0594671340620639,-0.0720360802441131,-0.0254834963249584
"14",0.058126991335394,-0.0524863066744592,0.00960107494531481
"15",0.135411750578692,-0.13024671007408,-0.00711679290859486
"16",0.0878073777790734,-0.0644157147624492,-0.0479512849168546
"17",0.084294078846389,-0.0958132119579352,-0.0272837255107949
"18",0.110961564538805,-0.0931643381623331,0.0559740381959659
"19",0.107625612582677,-0.0436086839389641,0.0798880047557978
"20",0.121324207689712,-0.079394616827133,-0.0199138616970204
"21",0.0849388293771225,-0.0567524040481189,-0.0204421546572481
"22",0.0956128944896036,-0.109759797228847,0.0201708377877992
"23",0.0650686647851072,-0.0841019589592903,0.013165548766631
"24",0.100771784177322,-0.06757697053486,0.00782323121657026
"25",0.120137610467549,-0.0608746824552449,0.00363652661277416
"26",0.146182584841166,-0.105126955653618,0.00711196895557765
"27",0.101325316069278,-0.0602352319740286,0.0341299453014853
"28",0.167382337109247,-0.130842967638151,0.019198376747299
"29",0.149851177892511,-0.0861881390222019,-0.00421625679404048
"30",0.108137007202532,-0.0536908637702362,-0.0224895600136403
"31",0.127157086947795,-0.0813055960794412,-0.00612817397352896
"32",0.153947996008296,-0.0695954709215189,-0.0158155964451661
"33",0.146504491428925,-0.0585246957298257,-0.0126491195600847
"34",0.187834306033866,-0.0418850801662389,-0.00629711923575136
"35",0.141223957625097,-0.0586915007608426,0.0152104630228504
"36",0.115787878008946,-0.0297922173399206,0.0531814128720983
"37",0.130930450487354,-0.0591358511439887,0.0769317220783673
"38",0.111751590623072,-0.0785052359065061,0.0160576738056531
"39",0.117623317828764,-0.0359157692665116,0.0426450409982593
